GTINShipDate,Quantity
1/10/2017,1
1/10/2018,1
1/11/2018,1
1/12/2018,1
1/14/2017,1
1/16/2017,1
1/16/2018,1
1/17/2018,1
1/18/2018,1
1/23/2018,1
1/24/2017,1
1/27/2017,1
1/29/2018,1
1/30/2017,1
1/31/2018,1
1/4/2018,1
1/5/2017,1
10/13/2017,1
10/16/2017,1
10/18/2017,1
10/19/2017,1
10/2/2017,1
10/26/2017,1
10/27/2017,1
10/4/2017,1
10/5/2017,1
11/10/2017,1
11/13/2017,1
11/16/2017,1
11/17/2017,1
11/18/2017,1
11/2/2017,1
11/21/2017,1
11/22/2017,1
11/27/2017,1
11/3/2017,1
11/30/2016,1
11/30/2017,1
11/6/2017,1
12/1/2016,1
12/1/2017,1
12/11/2017,1
12/12/2016,1
12/19/2016,1
12/20/2016,1
12/22/2016,1
12/27/2016,1
12/29/2017,1
12/4/2017,1
12/9/2016,1
2/12/2018,1
2/13/2017,1
2/14/2017,1
2/14/2018,1
2/15/2018,1
2/16/2018,1
2/19/2018,1
2/20/2017,1
2/21/2017,1
2/21/2018,1
2/26/2018,1
2/5/2018,1
2/7/2018,1
2/8/2017,1
2/8/2018,1
3/1/2018,1
3/12/2018,1
3/13/2018,1
3/14/2017,1
3/14/2018,1
3/2/2017,1
3/20/2017,1
3/21/2017,1
3/24/2017,1
3/26/2018,1
3/28/2017,1
3/29/2017,1
3/3/2017,1
3/31/2017,1
3/5/2018,1
3/6/2018,1
3/7/2017,1
3/7/2018,1
3/8/2017,1
3/8/2018,1
3/9/2018,1
4/10/2017,1
4/11/2017,1
4/24/2017,1
4/25/2017,1
4/29/2017,1
4/3/2017,1
4/5/2017,1
4/6/2017,1
4/7/2017,1
5/1/2017,1
5/11/2017,1
5/12/2017,1
5/16/2017,1
5/17/2017,1
5/2/2017,1
5/22/2017,1
5/25/2017,1
5/26/2017,1
5/29/2017,1
5/31/2016,1
5/8/2017,1
5/9/2017,1
6/1/2016,1
6/1/2017,1
6/10/2016,1
6/12/2017,1
6/16/2017,1
6/19/2017,1
6/20/2016,1
6/21/2017,1
6/22/2017,1
6/23/2017,1
6/26/2017,1
6/27/2016,1
6/28/2016,1
6/28/2017,1
6/29/2017,1
6/30/2017,1
6/5/2017,1
6/6/2017,1
6/8/2017,1
7/12/2017,1
7/13/2017,1
7/14/2017,1
7/17/2017,1
7/18/2016,1
7/20/2017,1
7/21/2017,1
7/25/2017,1
7/26/2017,1
7/27/2017,1
7/28/2017,1
7/6/2017,1
7/7/2016,1
8/11/2017,1
8/14/2017,1
8/16/2017,1
8/2/2017,1
8/21/2017,1
8/22/2017,1
8/23/2017,1
8/28/2017,1
8/3/2017,1
8/31/2017,1
8/4/2017,1
8/7/2017,1
8/8/2016,1
8/9/2016,1
9/14/2017,1
9/15/2017,1
9/18/2017,1
9/19/2017,1
9/21/2017,1
9/25/2017,1
9/28/2017,1
9/4/2017,1
9/5/2017,1
9/6/2017,1
9/7/2017,1
9/8/2017,1
